2012,2013,2014,2015,institution
,,882,856,Florida Atlantic University
,,883,858,Huazhong Agricultural University
,,884,861,Brock University
,,885,894,University of Lleida
,,886,888,Shanghai Normal University
,,887,880,Jean Monnet University
,,888,903,Shimane University
,,889,879,University of Orléans
,,890,857,University of Siegen
,,891,869,Makerere University
,,892,830,"University of Wales, Trinity Saint David"
,,893,916,National Taiwan University of Science and Technology
,,894,920,University of Brasília
,,895,896,University of Western Brittany
,,896,866,Nanjing Agricultural University
,,897,933,National University of Córdoba
,,898,918,Federal University of Santa Catarina
,,899,946,National Taiwan Ocean University
,,900,852,Gazi University
,,901,968,National University of Colombia
,,902,935,University of Jaén
,,903,837,Boğaziçi University
,,904,923,Jadavpur University
,,905,898,Pukyong National University
,,906,882,University of Western Sydney
,,907,871,Northeastern University (China)
,,908,902,University of Mannheim
,,909,876,University of Osnabrück
,,910,942,Charles Darwin University
,,911,925,University of Hyderabad
,,912,877,Northwest University (China)
,,913,901,University of Southern Mississippi
,,914,921,University of Wrocław
,,915,927,Carlos III University of Madrid
,,916,985,Novosibirsk State University
,,917,886,Nanjing Medical University
,,918,911,Nicolaus Copernicus University in Toruń
,,919,974,Federal University of Santa Maria
,,920,,Chemnitz University of Technology
,,921,889,Southwest University
,,922,944,Wrocław University of Technology
,,923,936,"University of California, Merced"
,,924,950,United Arab Emirates University
,,925,941,Federal University of São Carlos
,,926,905,University of Thessaly
,,927,922,University of Basilicata
,,928,983,Feng Chia University
,,929,934,Federal University of Paraná
,,930,940,University of Almería
,,931,952,Hallym University
,,932,899,Fourth Military Medical University
,,933,867,University of the Republic (Uruguay)
,,934,954,Dokuz Eylül University
,,935,895,Nanjing University of Aeronautics and Astronautics
,,936,959,Public University of Navarre
,,937,999,University of A Coruña
,,938,914,Isfahan University of Technology
,,939,811,University of New England (Australia)
,,940,939,Federal University of Pernambuco
,,941,947,Jiangsu University
,,942,957,Third Military Medical University
,,943,924,South China Normal University
,,944,981,University of Limerick
,,945,949,Xiangtan University
,,946,943,Yangzhou University
,,947,948,Northwestern Polytechnical University
,,948,978,University of Reims Champagne-Ardenne
,,949,970,Ibaraki University
,,950,967,Chung Shan Medical University
,,951,997,Alexandria University
,,952,979,Yuan Ze University
,,953,928,University of Cyprus
,,954,964,University of Silesia
,,955,963,Southern Medical University
,,956,956,Shiraz University
,,957,986,University of Bucharest
,,958,988,Mansoura University
,,959,958,Amirkabir University of Technology
,,960,,Beijing Jiaotong University
,,961,966,University of Valenciennes and Hainaut-Cambresis
,,962,996,University of the Algarve
,,963,980,"University of Chemistry and Technology, Prague"
,,964,998,Federal University of Ceará
,,965,965,Ain Shams University
,,966,801,University of Oldenburg
,,967,992,Federal University of Bahia
,,968,972,Hunan Normal University
,,969,,Western Michigan University
,,970,860,University of Seoul
,,971,960,Federico Santa María Technical University
,,972,994,Ryerson University
,,973,969,South China Agricultural University
,,974,971,Fu Jen Catholic University
,,975,1000,China Pharmaceutical University
,,976,912,Tarbiat Modares University
,,977,962,University of Puerto Rico at Mayagüez
,,978,,National University of Rosario
,,979,989,University of Pau and Pays de l'Adour
,,980,991,Xidian University
,,981,984,Zhejiang University of Technology
,,982,982,China Medical University (PRC)
,,983,961,Federal University of ABC
,,984,,King Juan Carlos University
,,985,977,Beijing University of Technology
,,986,,Guangxi University
,,987,,Northwest A&F University
,,988,,Shanxi University
,,989,,Tamkang University
,,990,,Harbin Medical University
,,991,,Zhejiang Normal University
,,992,995,King Abdulaziz University
,,993,,Iran University of Science and Technology
,,994,,I-Shou University
,,995,,University of Maine (Le Mans)
,,996,,National Dong Hwa University
,,997,,National Taipei University of Technology
,,998,,Shaanxi Normal University
,,999,,National University of Defense Technology
,,1000,,Yanbian University
,,,224,University of Montpellier
,,,250,Moscow Institute of Physics and Technology
,,,299,University of Bordeaux
,,,476,University of Oklahoma Health Sciences Center
,,,496,Renmin University of China
,,,721,École normale supérieure de Cachan
,,,755,National Research Nuclear University MEPhI
,,,787,Jacobs University Bremen
,,,881,École centrale de Lyon
,,,883,Hefei University of Technology
,,,891,University of Calcutta
,,,904,China University of Geosciences (Wuhan)
,,,917,University of Lethbridge
,,,931,Shahid Beheshti University of Medical Sciences
,,,938,University of Central Lancashire
,,,951,Gachon University
,,,953,Harbin Engineering University
,,,973,Ulsan National Institute of Science and Technology
,,,975,Shenzhen University
,,,976,Tianjin Medical University
,,,987,Babeș-Bolyai University
,,,990,Henan Normal University
,,,993,Southwest Jiaotong University
