2012,2013,2014,2015,institution
,,193,183,University of Massachusetts Medical School
,,194,186,University of Lausanne
,,195,180,Shanghai Jiao Tong University
,,196,194,University of Missouri–Columbia
,,197,174,Technical University of Denmark
,,198,228,Complutense University of Madrid
,,199,197,University of Cologne
,,200,185,"Trinity College, Dublin"
,,201,200,University of Bern
,,202,220,Chinese University of Hong Kong
,,203,196,University of Kansas
,,204,211,Sungkyunkwan University
,,205,223,University of Vienna
,,206,191,Zhejiang University
,,207,198,University of Georgia
,,208,219,University of Massachusetts Amherst
,,209,201,Cardiff University
,,210,205,University of Münster
,,211,199,University of Liverpool
,,212,193,University of Ottawa
,,213,204,University of Erlangen-Nuremberg
,,214,209,Queen Mary University of London
,,215,213,Karlsruhe Institute of Technology
,,216,332,Louisiana State University - Baton Rouge
,,217,244,Nanjing University
,,218,203,University of Illinois at Chicago
,,219,208,University of Bologna
,,220,222,University of Manitoba
,,221,188,Joseph Fourier University
,,222,214,"University of California, Riverside"
,,223,235,Julius-Maximilian's University of Würzburg
,,224,206,Aix-Marseille University
,,225,216,University of Western Australia
,,226,229,Laval University
,,227,227,"University of Tennessee, Knoxville"
,,228,232,North Carolina State University
,,229,212,Newcastle University
,,230,207,Claude Bernard University Lyon 1
,,231,221,University of Turin
,,232,215,University of Kiel
,,233,218,University of Connecticut
,,234,272,Tulane University
,,235,350,University of Oklahoma - Norman Campus
,,236,274,Brandeis University
,,237,210,Dresden University of Technology
,,238,230,RWTH Aachen University
,,239,234,University of Texas Health Science Center at San Antonio
,,240,259,Virginia Commonwealth University
,,241,,University of Montpellier 2
,,242,305,Dalian University of Technology
,,243,282,Rensselaer Polytechnic Institute
,,244,236,Paul Sabatier University - Toulouse III
,,245,217,Paris Descartes University
,,246,226,National Cheng Kung University
,,247,281,University of Delaware
,,248,280,Vrije Universiteit Brussel
,,249,233,Johannes Gutenberg University of Mainz
,,250,225,Maastricht University
,,251,251,University of Düsseldorf
,,252,242,University of Dundee
,,253,262,University of Tsukuba
,,254,241,Autonomous University of Barcelona
,,255,252,Florida State University
,,256,291,University of Texas at San Antonio
,,257,246,London School of Hygiene & Tropical Medicine
,,258,264,Lehigh University
,,259,267,University of Kentucky
,,260,254,Thomas Jefferson University
,,261,258,Drexel University
,,262,271,Colorado State University - Fort Collins
,,263,240,University of Leicester
,,264,261,Durham University
,,265,260,Oregon State University
,,266,247,University of Florence
,,267,248,University of Cape Town
,,268,273,"University at Buffalo, The State University of New York"
,,269,238,University College Dublin
,,270,239,University of Science and Technology of China
,,271,256,Virginia Polytechnic Institute and State University
,,272,268,University of Naples Federico II
,,273,266,University of Auckland
,,274,249,University of Texas Health Science Center at Houston
,,275,255,Delft University of Technology
,,276,285,University of Aberdeen
,,277,284,Queen's University
,,278,257,University of Lisbon
,,279,290,Hiroshima University
,,280,269,University of Waterloo
,,281,245,Okayama University
,,282,278,University of Ulm
,,283,311,Chulalongkorn University
,,284,286,Dalhousie University
,,285,406,Saint Petersburg State University
,,286,243,Norwegian University of Science and Technology
,,287,263,University of Reading
,,288,276,Wageningen University and Research Centre
,,289,287,Umeå University
,,290,308,University of Porto
,,291,319,Hong Kong University of Science and Technology
,,292,277,Sun Yat-sen University
,,293,297,Medical College of Wisconsin
,,294,289,City College of New York
,,295,292,Hannover Medical School
,,296,380,"Washington State University, Pullman"
,,297,345,Technical University of Berlin
,,298,300,University of South Carolina - Columbia
,,299,302,Leipzig University
,,300,316,University of Stuttgart
,,301,294,University of Valencia
,,302,355,Linköping University
,,303,288,University of Duisburg-Essen
,,304,296,Ruhr University Bochum
,,305,283,University of Bergen
,,306,279,London School of Economics
,,307,351,Wesleyan University
,,308,295,University of Pisa
,,309,304,Autonomous University of Madrid
,,310,265,Medical University of Vienna
,,311,306,Stellenbosch University
,,312,303,Medical University of South Carolina
,,313,270,Charles University in Prague
,,314,307,Kyungpook National University
,,315,482,"University of Science, Malaysia"
,,316,321,University of Liège
,,317,506,University of Hull
,,318,275,Northeastern University
,,319,353,Kansas State University
,,320,324,University of Vermont
,,321,323,Rush University
,,322,298,University of Louisville
,,323,309,University of St Andrews
,,324,293,University of Warwick
,,325,317,University of Rome Tor Vergata
,,326,347,University of Innsbruck
,,327,374,Darmstadt University of Technology
,,328,341,Indian Institute of Technology Delhi
,,329,322,Federal University of Rio de Janeiro
,,330,312,University of Antwerp
,,331,301,National and Kapodistrian University of Athens
,,332,326,Boston College
,,333,329,Vita-Salute San Raffaele University
,,334,310,Gwangju Institute of Science and Technology
,,335,314,University of Nebraska–Lincoln
,,336,325,University of York
,,337,334,National Autonomous University of Mexico
,,338,318,University of Regensburg
,,339,518,Yokohama National University
,,340,335,University of Adelaide
,,341,330,University of Genoa
,,342,343,Queen's University Belfast
,,343,346,University of Marburg
,,344,327,University of Pavia
,,345,340,"St George's, University of London"
,,346,339,University of Oregon
,,347,338,University of Navarra
,,348,361,San Diego State University
,,349,315,Nankai University
,,350,336,University of East Anglia
,,351,399,University of Nebraska Medical Center
,,352,356,University of Southern Denmark
,,353,348,Eindhoven University of Technology
,,354,313,Xiamen University
,,355,357,University of Otago
,,356,363,University of Santiago de Compostela
,,357,333,University of Exeter
,,358,328,University of Jena
,,359,344,University of Perugia
,,360,358,Justus Liebig University Giessen
,,361,360,College of William and Mary
,,362,349,Ben-Gurion University of the Negev
,,363,364,Saint Louis University
,,364,365,Colorado School of Mines
,,365,412,Oklahoma State University–Stillwater
,,366,368,University of Guelph
,,367,342,University of Trieste
,,368,411,University of Verona
,,369,388,"University at Albany, SUNY"
,,370,420,Tongji University
,,371,458,Eötvös Loránd University
,,372,409,University of Alabama - Tuscaloosa
,,373,366,University of Eastern Finland
,,374,390,Ewha Womans University
,,375,373,City University of Hong Kong
,,376,392,Tokyo Medical and Dental University
,,377,352,University of Victoria
,,378,367,University of Buenos Aires
,,379,378,University of Texas Medical Branch at Galveston
,,380,401,Kyung Hee University
,,381,354,Hong Kong Polytechnic University
,,382,372,Saarland University
,,383,393,Scuola Normale Superiore di Pisa
,,384,398,University of Seville
,,385,396,Beijing Normal University
,,386,418,Chiba University
,,387,369,University of Ferrara
,,388,377,University of Bari Aldo Moro
,,389,397,Polytechnic University of Milan
,,390,381,Temple University
,,391,383,University of Turku
,,392,421,Aalto University
,,393,362,Simon Fraser University
,,394,331,Tianjin University
,,395,402,Chalmers University of Technology
,,396,470,Middle East Technical University
,,397,594,Cranfield University
,,398,337,York University
,,399,389,Xi'an Jiaotong University
,,400,384,Chonnam National University
,,401,394,University of Central Florida
,,402,385,University of Lorraine
,,403,,University of Bordeaux II
,,404,359,University of New Hampshire
,,405,371,Versailles Saint-Quentin-en-Yvelines University
,,406,422,Chonbuk National University
,,407,419,Kumamoto University
,,408,400,Huazhong University of Science and Technology
,,409,472,Brunel University
,,410,370,Polytechnic University of Catalonia
,,411,386,National Chiao Tung University
,,412,443,Southeast University
,,413,481,Tokyo University of Science
,,414,387,Catholic University of the Sacred Heart
,,415,403,Brigham Young University
,,416,435,Technical University of Madrid
,,417,486,Nagasaki University
,,418,407,National Tsing Hua University
,,419,462,University of Warsaw
,,420,569,King Saud University
,,421,405,University of Bath
,,422,417,Concordia University
,,423,424,Georgia Regents University
,,424,468,Niigata University
,,425,447,University of Oulu
,,426,375,Pompeu Fabra University
,,427,427,Vienna University of Technology
,,428,581,Sogang University
,,429,434,Gyeongsang National University
,,430,442,University of Tampere
,,431,382,University of Milan - Bicocca
,,432,,University of Bordeaux I
,,433,416,Swedish University of Agricultural Sciences
,,434,414,George Mason University
,,435,391,Jilin University
,,436,379,University of Delhi
,,437,404,University of Campinas
,,438,415,Wuhan University
,,439,441,West Virginia University
,,440,452,Pusan National University
,,441,522,University of Mississippi - Oxford Campus
,,442,429,University of Arkansas for Medical Sciences
,,443,444,Miami University
,,444,512,University of Tokushima
,,445,408,University of Twente
,,446,437,Loyola University Chicago
,,447,433,Ajou University
,,448,463,Syracuse University
,,449,426,Lancaster University
,,450,376,Pontifical Catholic University of Chile
,,451,425,University of Chile
,,452,395,Innsbruck Medical University
,,453,431,University of Granada
,,454,457,Kanazawa University
,,455,456,University of Parma
,,456,446,University of Siena
,,457,413,Shandong University
,,458,487,Technical University of Dortmund
,,459,478,University of KwaZulu-Natal
,,460,454,"University of Nevada, Reno"
,,461,513,Yokohama City University
,,462,471,École normale supérieure de Lyon
,,463,436,University College Cork
,,464,460,Ohio University
,,465,438,Central South University
,,466,432,University of Modena and Reggio Emilia
,,467,519,New Mexico State University
,,468,490,University of Konstanz
,,469,488,University of Hawaii at Manoa
,,470,489,University of Nebraska Omaha
,,471,529,Shinshu University
,,472,453,University of Strathclyde
,,473,567,Baylor University
,,474,440,Polytechnic University of Valencia
,,475,410,Harbin Institute of Technology
,,476,475,University of Rennes 1
,,477,550,University of Arkansas - Fayetteville
,,478,459,Aristotle University of Thessaloniki
,,479,451,Jagiellonian University
,,480,469,Texas Tech University (TTU)
,,481,450,University of Rostock
,,482,543,University of Akron
,,483,455,University of Saskatchewan
,,484,465,Juntendo University
,,485,466,University of Wyoming
,,486,449,Macquarie University
,,487,533,University of Canterbury
,,488,428,University of Denver
,,489,480,Illinois Institute of Technology
,,490,508,Creighton University
,,491,464,Bielefeld University
,,492,498,University of Malaya
,,493,495,University of Ulsan
,,494,545,City University London
,,495,430,Grenoble Institute of Technology
,,496,526,Federal University of Minas Gerais
,,497,492,University of Hanover
,,498,439,South China University of Technology
,,499,525,University of Surrey
,,500,536,Otto-von-Guericke University Magdeburg
,,501,448,Indian Institute of Science
,,502,501,Tokyo Metropolitan University
,,503,521,Bar-Ilan University
,,504,607,Mississippi State University
,,505,493,"University of Maryland, Baltimore County"
,,506,467,University of Wollongong
,,507,620,Flinders University
,,508,497,Martin Luther University of Halle-Wittenberg
,,509,524,Graduate University for Advanced Studies
,,510,483,Clemson University
,,511,503,University of Brescia
,,512,509,Georgia State University
,,513,560,Dongguk University
,,514,573,University of Fribourg
,,515,479,Sichuan University
,,516,461,University of Iceland
,,517,502,University of Sherbrooke
,,518,584,University of Graz
,,519,693,University of Málaga
,,520,484,University of Zaragoza
,,521,546,New York Medical College
,,522,516,SUNY Downstate Medical Center
,,523,548,École Centrale Paris
,,524,566,Utah State University
,,525,504,University of Ljubljana
,,526,,University of Montpellier 1
,,527,588,Victoria University of Wellington
,,528,477,East China University of Science and Technology
,,529,602,Konkuk University
,,530,517,University of Potsdam
,,531,485,University of the Basque Country
,,532,505,University of Nice Sophia Antipolis
,,533,500,University of Udine
,,534,542,National Yang-Ming University
,,535,596,Indian Institute of Technology Bombay
,,536,520,University of Bayreuth
,,537,510,University of Wisconsin–Milwaukee
,,538,445,University of Dayton
,,539,473,Nihon University
,,540,556,Montana State University - Bozeman
,,541,540,"Royal Holloway, University of London"
,,542,555,Tokyo Women's Medical University
,,543,491,Panjab University
,,544,577,Tampere University of Technology
,,545,507,University of Coimbra
,,546,494,University of Newcastle
,,547,547,Nara Institute of Science and Technology
,,548,549,Auburn University
,,549,535,University of Bremen
,,550,532,Mahidol University
,,551,515,University of Crete
,,552,568,Bangor University
,,553,557,University of Aveiro
,,554,528,University of Palermo
,,555,599,Nagoya City University
,,556,537,University of Tartu
,,557,499,University of Savoy
,,558,527,University of Tromsø - The Arctic University of Norway
,,559,554,University of Missouri–Kansas City
,,560,705,Beihang University
,,561,682,American University of Beirut
,,562,539,University of Nantes
,,563,632,University of Essex
,,564,551,University of Zagreb
,,565,564,National Central University
,,566,562,University Lille 1: Sciences and Technologies
,,567,531,University of Catania
,,568,580,National Polytechnic Institute of Toulouse
,,569,714,Indian Institute of Technology Kanpur
,,570,619,Kagoshima University
,,571,514,Lanzhou University
,,572,541,James Cook University
,,573,648,Shizuoka University
,,574,614,Indian Institute of Technology Kharagpur
,,575,575,Second University of Naples
,,576,534,Indian Institute of Technology Madras
,,577,587,Plymouth University
,,578,576,International School for Advanced Studies
,,579,653,Polytechnic University of Turin
,,580,559,University of Oviedo
,,581,651,Ehime University
,,582,582,University of Ioannina
,,583,570,University of Cagliari
,,584,736,Tottori University
,,585,583,Federal University of Rio Grande do Sul
,,586,571,Kent State University
,,587,652,University of Los Andes (Colombia)
,,588,553,Hunan University
,,589,622,Tokai University
